Cod unic candidat,Sex,Specializare,Profil,Fileira,Forma de învățământ,Mediu candidat,Unitate (SIIIR),Unitate (SIRUES),Clasa,Subiect ea,Subiect eb,Limba modernă,Subiect ec,Subiect ed,Promoție,NOTE_RECUN_A,NOTE_RECUN_B,NOTE_RECUN_C,NOTE_RECUN_D,NOTE_RECUN_EA,NOTE_RECUN_EB,NOTE_RECUN_EC,NOTE_RECUN_ED,STATUS_A,STATUS_B,STATUS_C,STATUS_D,STATUS_EA,STATUS_EB,STATUS_EC,STATUS_ED,ITA,SCRIS_ITC,SCRIS_PMS,ORAL_PMO,ORAL_IO,NOTA_EA,NOTA_EB,NOTA_EC,NOTA_ED,CONTESTATIE_EA,NOTA_CONTESTATIE_EA,CONTESTATIE_EB,NOTA_CONTESTATIE_EB,CONTESTATIE_EC,NOTA_CONTESTATIE_EC,CONTESTATIE_ED,NOTA_CONTESTATIE_ED,PUNCTAJ DIGITALE,STATUS,Medie
407909,F,Științe ale Naturii,Real,Teoretica,Zi,RURAL,2161100876,210539881.0,a XII-a E,Limba română (REAL),,Limba engleză,Matematică ST-NAT,"Anatomie și fiziologie umană, genetică și ecologie umană",2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Mediu,Promovat,Neevaluat,Promovat,Promovat,A2,B1,A2,B1,B1,8.5,,9.8,8.0,Nu,,Nu,,Nu,,Nu,,49,Promovat,8.76
407923,F,Științe ale Naturii,Real,Teoretica,Zi,RURAL,2161100876,210539881.0,a XII-a E,Limba română (REAL),,Limba engleză,Matematică ST-NAT,Fizică TEO,2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Avansat,Promovat,Neevaluat,Promovat,Promovat,B2,A2,B1,B1,B1,8.55,,9.8,9.0,Nu,,Nu,,Nu,,Nu,,60,Promovat,8.81
407924,F,Științe ale Naturii,Real,Teoretica,Zi,RURAL,2161100876,210539881.0,a XII-a E,Limba română (REAL),,Limba engleză,Matematică ST-NAT,"Anatomie și fiziologie umană, genetică și ecologie umană",2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Avansat,Promovat,Neevaluat,Promovat,Promovat,B2,A2,B1,B2,B2,7.9,,7.1,8.65,Nu,,Nu,,Nu,,Nu,,57,Promovat,7.88
446343,M,Matematica-Informatica,Real,Teoretica,Zi,RURAL,2161100876,210539881.0,a XII-a A,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,Fizică TEO,2015-2016,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Certificat,Avansat,Promovat,Neevaluat,Promovat,Promovat,Neevaluat,Neevaluat,Neevaluat,Neevaluat,Neevaluat,9.3,,9.5,8.8,Nu,,Nu,,Da,9.5,Nu,,71,Promovat,9.2
407438,M,Științe Sociale,Uman,Teoretica,Zi,RURAL,2161100876,210539881.0,a XII-a G,Limba română (UMAN),,Limba engleză,Istorie,Geografie,2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Avansat,Neevaluat,Calificativ,Avansat,Promovat,Neevaluat,Promovat,Promovat,B2,A2,A2,A2,A2,8.2,,7.75,8.65,Nu,,Nu,,Nu,,Nu,,57,Promovat,8.2
407481,M,Științe Sociale,Uman,Teoretica,Zi,RURAL,2161100876,210539881.0,a XII-a G,Limba română (UMAN),,Limba engleză,Istorie,Geografie,2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Avansat,Neevaluat,Calificativ,Incepator,Promovat,Neevaluat,Promovat,Promovat,B2,A2,-,A1,A1,5.85,,6.85,8.4,Nu,,Nu,,Nu,,Nu,,20,Promovat,7.03
407499,M,Științe Sociale,Uman,Teoretica,Zi,URBAN,2161100876,210539881.0,a XII-a G,Limba română (UMAN),,Limba engleză,Istorie,Geografie,2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Mediu,Promovat,Neevaluat,Promovat,Promovat,A2,A2,B1,B1,B1,8.9,,9.1,10.0,Da,9,Nu,,Nu,,Nu,,43,Promovat,9.33
407583,F,Științe Sociale,Uman,Teoretica,Zi,URBAN,2161100876,210539881.0,a XII-a G,Limba română (UMAN),,Limba engleză,Istorie,Psihologie,2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Avansat,Promovat,Neevaluat,Promovat,Promovat,B2,B2,B2,B2,B2,6.65,,8.8,10.0,Da,7,Nu,,Nu,,Nu,,71,Promovat,8.48
427939,F,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2161100876,210539881.0,a XII-a B,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,"Anatomie și fiziologie umană, genetică și ecologie umană",2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Avansat,Promovat,Neevaluat,Promovat,Promovat,B1,B2,B2,B2,B2,9.7,,9.3,9.55,Nu,,Nu,,Nu,,Nu,,62,Promovat,9.51
428262,F,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2161100876,210539881.0,a XII-a B,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,"Anatomie și fiziologie umană, genetică și ecologie umană",2015-2016,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Certificat,Promovat,Neevaluat,Promovat,Promovat,B2,B1,B2,B2,B2,9.5,,9.55,9.9,Nu,,Nu,,Nu,,Nu,,,Promovat,9.65
428987,F,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2161100876,210539881.0,a XII-a B,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,Chimie organică TEO Nivel I/II,2015-2016,Nu,Nu,Da,Da,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Certificat,Certificat,Promovat,Neevaluat,Promovat,Promovat,Neevaluat,Neevaluat,Neevaluat,Neevaluat,Neevaluat,9.2,,9.75,9.8,Nu,,Nu,,Nu,,Nu,,,Promovat,9.58
429050,F,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2161100876,210539881.0,a XII-a B,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,Chimie organică TEO Nivel I/II,2015-2016,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Neevaluat,Calificativ,Avansat,Promovat,Neevaluat,Promovat,Promovat,B2,B1,B2,B2,B2,8.6,,9.55,9.95,Da,9.2,Nu,,Nu,,Nu,,57,Promovat,9.56
